id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
309	catholic university of eichstätt-ingolstadt	-0.7999	-1.3557	3	4	6	5	57	6.6509	2019.8	11.4	1.3302
312	center for anxiety and depression	0.3559	0.9977	12	15	20	6	261	3	2011.5	43.5	0.5
313	center for autism and related disorders	-0.1842	0.8624	1	14	18	9	94	5.3633	2017.1111	10.4444	0.5959
325	center for life sciences	-0.7214	3.4327	16	4	10	5	185	3.4	2016.4	37	0.68
331	central arkansas veterans healthcare system	0.369	0.9114	12	11	14	5	52	1.3818	2017	10.4	0.2764
333	central institute of mental health	-0.7505	-1.2356	3	47	98	15	2395	48.7948	2017	159.6667	3.253
343	centre for addiction and mental health	-0.0471	-0.1816	9	37	67	25	1792	31.7601	2014.52	71.68	1.2704
345	centre for clinical interventions	0.4481	-0.2859	4	12	33	14	373	9.24	2016	26.6429	0.66
347	centre for mental health	0.0318	-0.4704	10	33	51	12	1264	42.3402	2015.6667	105.3333	3.5284
362	centro de investigación biomédica en red de salud mental	0.2056	-0.5312	6	70	166	22	1881	51.34	2016.6818	85.5	2.3336
363	centro di terapia metacognitiva interpersonale	0.0891	-0.3042	4	11	14	13	276	8.7791	2016.7692	21.2308	0.6753
378	charité - universitätsmedizin berlin	-0.8271	-1.2992	3	35	108	24	756	28.2542	2017.375	31.5	1.1773
387	chestnut hill college	0.0154	0.5437	8	11	13	6	437	5.0154	2005.6667	72.8333	0.8359
402	children's hospital of philadelphia	0.0255	0.8724	7	7	9	5	186	4.1773	2014.2	37.2	0.8355
408	chinese university of hong kong	-0.3621	-0.1564	1	5	7	8	100	4.179	2017.625	12.5	0.5224
421	cincinnati va medical center	-0.1458	0.8727	2	24	34	10	1046	16.7045	2015	104.6	1.6705
425	city college of new york	-0.4817	0.5313	9	3	4	5	989	21.9959	2013.6	197.8	4.3992
427	city university of new york	-0.4032	0.598	9	29	53	22	2510	38.9225	2013.2727	114.0909	1.7692
434	clark university	0.2066	0.8554	7	17	23	11	631	8.1274	2008.4545	57.3636	0.7389
453	colorado state university	-0.1417	0.931	1	8	8	8	223	4.3755	1999	27.875	0.5469
455	columbia university	-0.1348	0.376	9	52	91	48	3754	57.4994	2010.9167	78.2083	1.1979
456	columbia university irving medical center	-0.0854	0.4289	9	31	37	16	756	18.2077	2015.875	47.25	1.138
467	concordia university	0.143	-0.2888	11	15	21	15	555	10.5457	2011.8667	37	0.703
469	consejo nacional de investigaciones científicas y técnicas	-0.1995	-0.8491	3	3	4	5	57	1.5456	2018	11.4	0.3091
470	consorci institut d'investigacions biomediques august pi i sunyer	0.5335	-0.8513	6	43	83	7	456	12.8403	2016.1429	65.1429	1.8343
478	cornell university	0.0547	0.4156	2	49	59	30	2000	31.1925	2008.6333	66.6667	1.0398
480	counseling center	-0.1019	0.8641	1	5	5	8	96	1.3222	1993	12	0.1653
489	curtin university	0.4354	-0.1657	4	29	55	30	1332	35.1344	2016.0667	44.4	1.1711
490	"czech academy of sciences, institute of psychology"	-0.4379	-0.7815	5	5	5	5	35	3.4323	2009.4	7	0.6865
494	dalhousie university	-0.11	-0.1429	11	16	16	8	217	5.5656	2014.875	27.125	0.6957
500	dartmouth college	0.0559	0.7549	1	24	33	13	467	12.9843	2014.5385	35.9231	0.9988
508	deakin university	0.5505	-0.0218	4	12	21	12	584	24.5972	2017.9167	48.6667	2.0498
539	drexel university	0.0477	0.5333	8	30	39	34	5382	54.6888	2009.5294	158.2941	1.6085
541	duke medical center	-0.0561	0.7567	2	65	162	46	5482	71.8758	2013.0435	119.1739	1.5625
542	duke university	-0.0512	0.7616	1	62	94	34	3933	56.2787	2014.0588	115.6765	1.6553
544	duke university hospital	-0.0807	0.8031	2	48	121	24	2406	39.9017	2013.2917	100.25	1.6626
549	durham university	0.4864	0.1403	4	5	5	5	352	4.9834	2006.6	70.4	0.9967
551	durham va medical center	0.0032	0.8426	2	23	37	9	853	15.1162	2014.8889	94.7778	1.6796
565	edinburgh napier university	0.0248	-0.5664	5	17	19	5	150	2.6553	2015.4	30	0.5311
574	emgo institute for health and care research	0.5284	-0.8995	6	35	64	8	841	20.997	2015.75	105.125	2.6246
578	emory university	-0.0101	0.5336	2	71	94	57	6331	105.4713	2011.2982	111.0702	1.8504
585	erasmus university rotterdam	-0.508	-0.8229	3	23	25	10	256	9.7318	2014.7	25.6	0.9732
631	flinders university	0.4534	-0.2767	4	19	26	15	774	17.2784	2014.5333	51.6	1.1519
638	florida institute of technology	-0.0954	0.712	1	11	13	9	302	8.4091	2017.8889	33.5556	0.9343
639	florida international university	-0.0118	0.5749	1	22	29	13	1062	15.3634	2010.5385	81.6923	1.1818
